"Código Pagamento";"Código Lista";"Data Emissão";"Código Banco";"Nome Banco";"Agência";"Valor em R$"
"135046132032024OB000002";"135046132032023LB000106";"02/01/2024";"237";"Banco Bradesco S.A.";"0484";"126609,65"
"135046132032024OB000002";"135046132032023LB000106";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"98291,08"
"135046132032024OB000002";"135046132032023LB000106";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"16463,38"
"135046132032024OB000005";"135046132032023LB000100";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"57743,04"
"135046132032024OB000006";"135046132032023LB000096";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"51686,02"
"135046132032024OB000007";"135046132032023LB000097";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"19585,79"
"135046132032024OB000008";"135046132032023LB000098";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"16239,36"
"135046132032024OB000009";"135046132032023LB000099";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"27218,47"
"135046132032024OB000010";"135046132032023LB000101";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"37617,18"
"135046132032024OB000011";"135046132032023LB000102";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"52598,98"
"135046132032024OB000012";"135046132032023LB000103";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"34478,10"
"150002000012024OB000011";"150002000012023LB000012";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"67018,98"
"150002000012024OB000011";"150002000012023LB000012";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"2941,72"
"150002000012024OB000011";"150002000012023LB000012";"02/01/2024";"70";"BRB - Banco de Brasília S.A.";"0100";"3144,20"
"150002000012024OB000011";"150002000012023LB000012";"02/01/2024";"104";"Caixa Econômica Federal";"0664";"49122,29"
"150002000012024OB000011";"150002000012023LB000012";"02/01/2024";"237";"Banco Bradesco S.A.";"0484";"1059,98"
"150002000012024OB000011";"150002000012023LB000012";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"5992,29"
"150218152592024OB000001";"150218152592023LB000012";"02/01/2024";"1";"Banco do Brasil S.A.";"2694";"14933,71"
"150218152592024OB000001";"150218152592023LB000012";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"1151";"3282,74"
"150218152592024OB000001";"150218152592023LB000012";"02/01/2024";"41";"Banco do Estado do Rio Grande do Sul S.A.";"0330";"13236,89"
"150218152592024OB000001";"150218152592023LB000012";"02/01/2024";"104";"Caixa Econômica Federal";"0497";"6541,79"
"150218152592024OB000001";"150218152592023LB000012";"02/01/2024";"748";"Banco Cooperativo Sicredi S.A.";"0100";"2312,36"
"150244152242024OB000001";"150244152242023LB000023";"02/01/2024";"1";"Banco do Brasil S.A.";"3653";"25118,44"
"150244152242024OB000001";"150244152242023LB000023";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3508";"2238,43"
"150244152242024OB000001";"150244152242023LB000023";"02/01/2024";"104";"Caixa Econômica Federal";"0926";"1920,42"
"150244152242024OB000001";"150244152242023LB000023";"02/01/2024";"237";"Banco Bradesco S.A.";"1234";"2098,19"
"150244152242024OB000001";"150244152242023LB000023";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"1481,29"
"150244152242024OB000002";"150244152242023LB000024";"02/01/2024";"1";"Banco do Brasil S.A.";"3653";"554214,83"
"150244152242024OB000002";"150244152242023LB000024";"02/01/2024";"104";"Caixa Econômica Federal";"0926";"112072,31"
"150246152242024OB000002";"150246152242023LB000023";"02/01/2024";"1";"Banco do Brasil S.A.";"3653";"12935,23"
"150246152242024OB000002";"150246152242023LB000023";"02/01/2024";"237";"Banco Bradesco S.A.";"0621";"703,26"
"150246152242024OB000005";"150246152242023LB000024";"02/01/2024";"1";"Banco do Brasil S.A.";"3653";"295246,79"
"150246152242024OB000005";"150246152242023LB000024";"02/01/2024";"104";"Caixa Econômica Federal";"0926";"46959,00"
"150426152342024OB000001";"150426152342023LB000034";"02/01/2024";"1";"Banco do Brasil S.A.";"1668";"3243981,01"
"150426152342024OB000001";"150426152342023LB000034";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"0080";"644234,28"
"150426152342024OB000001";"150426152342023LB000034";"02/01/2024";"104";"Caixa Econômica Federal";"0633";"1374471,00"
"150426152342024OB000001";"150426152342023LB000034";"02/01/2024";"237";"Banco Bradesco S.A.";"0321";"96594,89"
"150426152342024OB000001";"150426152342023LB000034";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"133759,63"
"150426152342024OB000001";"150426152342023LB000034";"02/01/2024";"748";"Banco Cooperativo Sicredi S.A.";"0100";"141236,37"
"150426152342024OB000001";"150426152342023LB000034";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"548238,53"
