"Código Pagamento";"Código Lista";"Data Emissão";"Código Sequência";"Valor Lançamento em R$";"Valor Desconto em R$";"Valor Juros em R$";"Valor Dedução em R$";"Valor Acréscimo em R$"
"110120000012024OB000005";"110120000012023LF000646";"02/01/2024";"9";"57,73";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000006";"110120000012023LF000644";"02/01/2024";"1";"402,00";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"1";"144788,31";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"10";"1587,34";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"11";"4798,06";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"12";"4058,45";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"13";"2029,23";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"14";"4960,33";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"15";"2254,69";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"16";"4960,33";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"17";"1803,76";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"18";"6989,55";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"19";"10597,07";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"2";"1812,81";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"20";"2489,22";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"21";"1596,40";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"22";"2029,23";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"23";"6125,78";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"24";"2480,16";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"25";"2248,82";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"26";"9027,83";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"27";"1803,76";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"3";"1352,82";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"4";"6751,34";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"5";"2038,28";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"6";"3832,98";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"7";"6682,59";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"8";"2705,63";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000007";"110120000012023LF000648";"02/01/2024";"9";"5197,70";"0,00";"0,00";"0,00";"0,00"
"110161000012024OB000001";"110161000012023LF004132";"02/01/2024";"1";"305,72";"0,00";"0,00";"0,00";"0,00"
"110245000012024OB000012";"110245000012023LF000090";"02/01/2024";"1";"122750,68";"0,00";"0,00";"0,00";"0,00"
"110247000012024OB000005";"110247000012023LF000015";"02/01/2024";"1";"945,95";"0,00";"0,00";"0,00";"0,00"
"110247000012024OB000012";"110247000012023LF000016";"02/01/2024";"1";"14536,31";"0,00";"0,00";"0,00";"0,00"
"110404000012024OB000011";"110404000012023LF000316";"02/01/2024";"1";"360,20";"0,00";"0,00";"0,00";"0,00"
"110404000012024OB000011";"110404000012023LF000316";"02/01/2024";"2";"360,20";"0,00";"0,00";"0,00";"0,00"
"110404000012024OB000012";"110404000012023LF000317";"02/01/2024";"1";"4236,21";"0,00";"0,00";"0,00";"0,00"
"110404000012024OB000012";"110404000012023LF000317";"02/01/2024";"2";"592,66";"0,00";"0,00";"0,00";"0,00"
"110511000012024OB000003";"110511000012023LF000402";"02/01/2024";"1";"93798,77";"0,00";"0,00";"0,00";"0,00"
"110511000012024OB000005";"110511000012023LF000401";"02/01/2024";"1";"16085,67";"0,00";"0,00";"0,00";"0,00"
"110511000012024OB000006";"110511000012023LF000404";"02/01/2024";"1";"17210,22";"0,00";"0,00";"0,00";"0,00"
"110511000012024OB000006";"110511000012023LF000404";"02/01/2024";"2";"12146,14";"0,00";"0,00";"0,00";"0,00"
"110511000012024OB000009";"110511000012023LF000398";"02/01/2024";"1";"2814,41";"0,00";"0,00";"0,00";"0,00"
"110511000012024OB000010";"110511000012023LF000399";"02/01/2024";"1";"871,04";"0,00";"0,00";"0,00";"0,00"
"110511000012024OB000011";"110511000012023LF000400";"02/01/2024";"1";"112498,67";"0,00";"0,00";"0,00";"0,00"
"110537000012024OB000035";"110537000012023LF000099";"02/01/2024";"1";"7476,85";"0,00";"0,00";"0,00";"0,00"
"110537000012024OB000035";"110537000012023LF000099";"02/01/2024";"2";"58,52";"0,00";"0,00";"0,00";"0,00"
"110537000012024OB000063";"110537000012023LF000100";"02/01/2024";"1";"1022,26";"0,00";"0,00";"0,00";"0,00"
"110537000012024OB000071";"110537000012023LF000097";"02/01/2024";"1";"1179,14";"0,00";"0,00";"0,00";"0,00"
"110537000012024OB000076";"110537000012023LF000098";"02/01/2024";"1";"423,85";"0,00";"0,00";"0,00";"0,00"
"110537000012024OB000083";"110537000012023LF000094";"02/01/2024";"1";"12296,01";"0,00";"0,00";"0,00";"0,00"
"110537000012024OB000084";"110537000012023LF000095";"02/01/2024";"1";"138432,93";"0,00";"0,00";"0,00";"0,00"
"110537000012024OB000087";"110537000012023LF000096";"02/01/2024";"1";"217623,81";"0,00";"0,00";"0,00";"0,00"
"110537000012024OB000087";"110537000012023LF000096";"02/01/2024";"2";"27599,55";"0,00";"0,00";"0,00";"0,00"
"110807000012024OB000011";"110807000012023LF000004";"02/01/2024";"1";"705,84";"0,00";"0,00";"0,00";"0,00"
"112408000012024OB000005";"112408000012023LF000215";"02/01/2024";"1";"11837,77";"0,00";"0,00";"0,00";"0,00"
"112408000012024OB000008";"112408000012023LF000216";"02/01/2024";"1";"385,39";"0,00";"0,00";"0,00";"0,00"
"112408000012024OB000015";"112408000012023LF000217";"02/01/2024";"1";"1121,18";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000011";"113201115012023LF000366";"02/01/2024";"1";"221,77";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000011";"113201115012023LF000366";"02/01/2024";"2";"629,16";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000012";"113201115012023LF000367";"02/01/2024";"1";"1822,24";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000013";"113201115012023LF000368";"02/01/2024";"1";"3185,75";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000026";"113201115012023LF000358";"02/01/2024";"1";"2216,34";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000026";"113201115012023LF000358";"02/01/2024";"2";"19251,75";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"1";"488,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"10";"976,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"11";"176,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"12";"36,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"13";"70,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"14";"802,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"15";"802,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"16";"236,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"17";"78,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"18";"118,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"19";"70,00";"0,00";"0,00";"0,00";"0,00"
