"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170135 - DELEGACIA DA RFB EM BAURU";"77.328,29";"28.490,01";"28.027,38";"875.254,21";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"200281 - FOLHA DE PAGAMENTO - MF";"664.803,04";"738.401.036,62";"651.579.885,89";"0,00";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170217 - SUPERINTENDENCIA REGIONAL DA RFB NA 2A RF";"4.694.013,76";"3.692.237,71";"3.595.731,07";"215.222,75";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170010 - SECRET. ESPECIAL DA RECEITA FEDERAL DO BRASIL";"845.059,21";"168.435.304,59";"56.110.806,25";"39.259.629,33";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170590 - UCP/SE/MF-PNAFM III";"0,00";"9.647,13";"9.647,13";"0,00";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170700 - COORD.GERAL DE CONTR.E EXEC.DE OPER.FISCAIS.";"6.572.889.789,10";"7.197.373.460,95";"7.197.373.460,95";"2.816.742.080,81";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170156 - SUPERINTENDENCIA REGIONAL DA RFB NA 9A RF";"6.812.636,80";"11.741.555,41";"10.974.745,85";"1.459.685,53";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170135 - DELEGACIA DA RFB EM BAURU";"427.663,42";"84.493,26";"215.999,85";"0,00";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170040 - SUPERINTENDENCIA REGIONAL DA RFB NA 3A RF";"1.883.146,30";"1.299.773,43";"1.183.585,96";"3.253,53";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170512 - COORDENACAO GERAL DE HAVERES FINANCEIROS";"25.000,00";"8.530.905,96";"8.530.905,96";"0,00";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170209 - DELEGACIA DA RFB EM MANAUS";"105.968,93";"141.613,22";"148.317,51";"150.788,09";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170600 - COORD.GERAL DE CONTROLE DA DIVIDA PUBLICA";"219.017.403.257,51";"13.321.930.421,38";"13.321.930.421,38";"0,00";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170008 - PROCURADORIA GERAL DA FAZENDA NACIONAL";"18.658.469,94";"18.102.815,44";"18.185.596,65";"34.687.509,30";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170072 - DELEGACIA DA RFB EM ARACAJU";"677.085,15";"168.252,29";"150.792,33";"116.893,49";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170178 - DELEGACIA DA RFB EM CAXIAS DO SUL";"44.747,26";"520.487,81";"561.620,53";"93.340,62";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170627 - CENTRO DE SERVICOS COMPARTILHADOS - MF";"214.060,00";"0,00";"0,00";"0,00";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170177 - SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"2.899.858,23";"1.698.694,72";"1.724.919,22";"898.036,11";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170479 - CONSELHO ADMINISTRATIVO DE RECURSOS FISCAIS";"4.000,00";"234.278,77";"195.138,46";"0,00";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"200281 - FOLHA DE PAGAMENTO - MF";"5.121.522,58";"613.968.081,53";"621.426.949,96";"244.584,58";
